"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"DELETE","/projects/6302",1,0,333,333,333,333,2,0.01
"DELETE","/projects/6303",1,0,111,111,111,111,2,0.01
"DELETE","/projects/6304",1,0,162,162,162,162,2,0.01
"DELETE","/projects/6305",1,0,162,162,162,162,2,0.01
"DELETE","/projects/6306",1,0,420,420,420,420,2,0.01
"DELETE","/projects/6307",1,0,344,344,344,344,2,0.01
"DELETE","/projects/6308",1,0,419,419,419,419,2,0.01
"DELETE","/projects/6309",1,0,405,405,405,405,2,0.01
"DELETE","/projects/6310",1,0,253,253,253,253,2,0.01
"DELETE","/projects/6311",1,0,380,380,380,380,2,0.01
"DELETE","/projects/6312",1,0,670,670,670,670,2,0.01
"DELETE","/projects/6313",1,0,736,736,736,736,2,0.01
"DELETE","/projects/6314",1,0,735,735,735,735,2,0.01
"DELETE","/projects/6315",1,0,491,491,491,491,2,0.01
"DELETE","/projects/6316",1,0,469,469,469,469,2,0.01
"DELETE","/projects/6317",1,0,250,250,250,250,2,0.01
"DELETE","/projects/6318",1,0,147,147,147,147,2,0.01
"DELETE","/projects/6319",1,0,179,179,179,179,2,0.01
"DELETE","/projects/6320",1,0,155,155,155,155,2,0.01
"DELETE","/projects/6321",1,0,238,238,238,238,2,0.01
"DELETE","/projects/6322",1,0,231,231,231,231,2,0.01
"DELETE","/projects/6323",1,0,62,62,62,62,2,0.01
"DELETE","/projects/6324",1,0,77,77,77,77,2,0.01
"DELETE","/projects/6325",1,0,78,78,78,78,2,0.01
"DELETE","/projects/6326",1,0,66,66,66,66,2,0.01
"DELETE","/projects/6327",1,0,107,107,107,107,2,0.01
"DELETE","/projects/6328",1,0,432,432,432,432,2,0.01
"DELETE","/projects/6329",1,0,594,594,594,594,2,0.01
"DELETE","/projects/6330",1,0,554,554,554,554,2,0.01
"DELETE","/projects/6331",1,0,518,518,518,518,2,0.01
"DELETE","/projects/6332",1,0,814,814,814,814,2,0.01
"DELETE","/projects/6333",1,0,576,576,576,576,2,0.01
"DELETE","/projects/6334",1,0,387,387,387,387,2,0.01
"DELETE","/projects/6335",1,0,858,858,858,858,2,0.01
"DELETE","/projects/6336",1,0,620,620,620,620,2,0.01
"DELETE","/projects/6337",1,0,630,630,630,630,2,0.01
"DELETE","/projects/6338",1,0,426,426,426,426,2,0.01
"DELETE","/projects/6339",1,0,400,400,400,400,2,0.01
"DELETE","/projects/6340",1,0,270,270,270,270,2,0.01
"DELETE","/projects/6341",1,0,166,166,166,166,2,0.01
"DELETE","/projects/6342",1,0,127,127,127,127,2,0.01
"DELETE","/projects/6343",1,0,187,187,187,187,2,0.01
"DELETE","/projects/6344",1,0,271,271,271,271,2,0.01
"DELETE","/projects/6345",1,0,58,58,58,58,2,0.01
"DELETE","/projects/6346",1,0,66,66,66,66,2,0.01
"DELETE","/projects/6347",1,0,66,66,66,66,2,0.01
"DELETE","/projects/6348",1,0,123,123,123,123,2,0.01
"DELETE","/projects/6349",1,0,78,78,78,78,2,0.01
"DELETE","/projects/6350",1,0,213,213,213,213,2,0.01
"DELETE","/projects/6351",1,0,137,137,137,137,2,0.01
"DELETE","/projects/6352",1,0,199,199,199,199,2,0.01
"DELETE","/projects/6353",1,0,121,121,121,121,2,0.01
"DELETE","/projects/6354",1,0,342,342,342,342,2,0.01
"DELETE","/projects/6355",1,0,754,754,754,754,2,0.01
"DELETE","/projects/6356",1,0,143,143,143,143,2,0.01
"DELETE","/projects/6357",1,0,520,520,520,520,2,0.01
"DELETE","/projects/6358",1,0,167,167,167,167,2,0.01
"DELETE","/projects/6359",1,0,286,286,286,286,2,0.01
"DELETE","/projects/6360",1,0,364,364,364,364,2,0.01
"DELETE","/projects/6361",1,0,284,284,284,284,2,0.01
"DELETE","/projects/6362",1,0,447,447,447,447,2,0.01
"DELETE","/projects/6363",1,0,279,279,279,279,2,0.01
"DELETE","/projects/6364",1,0,360,360,360,360,2,0.01
"DELETE","/projects/6365",1,0,404,404,404,404,2,0.01
"DELETE","/projects/6366",1,0,292,292,292,292,2,0.01
"DELETE","/projects/6367",1,0,313,313,313,313,2,0.01
"DELETE","/projects/6368",1,0,314,314,314,314,2,0.01
"DELETE","/projects/6369",1,0,215,215,215,215,2,0.01
"DELETE","/projects/6370",1,0,97,97,97,97,2,0.01
"DELETE","/projects/6371",1,0,135,135,135,135,2,0.01
"DELETE","/projects/6372",1,0,75,75,75,75,2,0.01
"DELETE","/projects/6373",1,0,75,75,75,75,2,0.01
"DELETE","/projects/6374",1,0,138,138,138,138,2,0.01
"DELETE","/projects/6375",1,0,51,51,51,51,2,0.01
"DELETE","/projects/6376",1,0,110,110,110,110,2,0.01
"DELETE","/projects/6377",1,0,76,76,76,76,2,0.01
