"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","100%"
"POST /projects",360,230,350,400,450,640,830,1100,1300,1500,1500,1500
"DELETE /projects/6202",1,220,220,220,220,220,220,220,220,220,220,220
"DELETE /projects/6203",1,180,180,180,180,180,180,180,180,180,180,180
"DELETE /projects/6204",1,300,300,300,300,300,300,300,300,300,300,300
"DELETE /projects/6205",1,330,330,330,330,330,330,330,330,330,330,330
"DELETE /projects/6206",1,330,330,330,330,330,330,330,330,330,330,330
"DELETE /projects/6207",1,260,260,260,260,260,260,260,260,260,260,260
"DELETE /projects/6208",1,260,260,260,260,260,260,260,260,260,260,260
"DELETE /projects/6209",1,340,340,340,340,340,340,340,340,340,340,340
"DELETE /projects/6210",1,250,250,250,250,250,250,250,250,250,250,250
"DELETE /projects/6211",1,250,250,250,250,250,250,250,250,250,250,250
"DELETE /projects/6212",1,180,180,180,180,180,180,180,180,180,180,180
"DELETE /projects/6213",1,280,280,280,280,280,280,280,280,280,280,280
"DELETE /projects/6214",1,180,180,180,180,180,180,180,180,180,180,180
"DELETE /projects/6215",1,420,420,420,420,420,420,420,420,420,420,420
"DELETE /projects/6216",1,300,300,300,300,300,300,300,300,300,300,300
"DELETE /projects/6217",1,390,390,390,390,390,390,390,390,390,390,390
"DELETE /projects/6218",1,270,270,270,270,270,270,270,270,270,270,270
"DELETE /projects/6219",1,250,250,250,250,250,250,250,250,250,250,250
"DELETE /projects/6220",1,77,77,77,77,77,77,77,77,77,77,77
"DELETE /projects/6221",1,130,130,130,130,130,130,130,130,130,130,130
"DELETE /projects/6222",1,45,45,45,45,45,45,45,45,45,45,45
"DELETE /projects/6223",1,260,260,260,260,260,260,260,260,260,260,260
"DELETE /projects/6224",1,100,100,100,100,100,100,100,100,100,100,100
"DELETE /projects/6225",1,220,220,220,220,220,220,220,220,220,220,220
"DELETE /projects/6226",1,290,290,290,290,290,290,290,290,290,290,290
"DELETE /projects/6227",1,120,120,120,120,120,120,120,120,120,120,120
"DELETE /projects/6228",1,130,130,130,130,130,130,130,130,130,130,130
"DELETE /projects/6229",1,140,140,140,140,140,140,140,140,140,140,140
"DELETE /projects/6230",1,490,490,490,490,490,490,490,490,490,490,490
"DELETE /projects/6231",1,180,180,180,180,180,180,180,180,180,180,180
"DELETE /projects/6232",1,330,330,330,330,330,330,330,330,330,330,330
"DELETE /projects/6233",1,530,530,530,530,530,530,530,530,530,530,530
"DELETE /projects/6234",1,210,210,210,210,210,210,210,210,210,210,210
"DELETE /projects/6235",1,120,120,120,120,120,120,120,120,120,120,120
"DELETE /projects/6236",1,370,370,370,370,370,370,370,370,370,370,370
"DELETE /projects/6237",1,160,160,160,160,160,160,160,160,160,160,160
"DELETE /projects/6238",1,150,150,150,150,150,150,150,150,150,150,150
"DELETE /projects/6239",1,210,210,210,210,210,210,210,210,210,210,210
"DELETE /projects/6240",1,500,500,500,500,500,500,500,500,500,500,500
"DELETE /projects/6241",1,72,72,72,72,72,72,72,72,72,72,72
"DELETE /projects/6242",1,640,640,640,640,640,640,640,640,640,640,640
"DELETE /projects/6243",1,610,610,610,610,610,610,610,610,610,610,610
"DELETE /projects/6244",1,160,160,160,160,160,160,160,160,160,160,160
"DELETE /projects/6245",1,300,300,300,300,300,300,300,300,300,300,300
"DELETE /projects/6246",1,110,110,110,110,110,110,110,110,110,110,110
"DELETE /projects/6247",1,160,160,160,160,160,160,160,160,160,160,160
"DELETE /projects/6248",1,200,200,200,200,200,200,200,200,200,200,200
"DELETE /projects/6249",1,160,160,160,160,160,160,160,160,160,160,160
"DELETE /projects/6250",1,140,140,140,140,140,140,140,140,140,140,140
"DELETE /projects/6251",1,99,99,99,99,99,99,99,99,99,99,99
"DELETE /projects/6252",1,170,170,170,170,170,170,170,170,170,170,170
"DELETE /projects/6253",1,98,98,98,98,98,98,98,98,98,98,98
"DELETE /projects/6254",1,97,97,97,97,97,97,97,97,97,97,97
"DELETE /projects/6255",1,110,110,110,110,110,110,110,110,110,110,110
"DELETE /projects/6256",1,120,120,120,120,120,120,120,120,120,120,120
"DELETE /projects/6257",1,68,68,68,68,68,68,68,68,68,68,68
"DELETE /projects/6258",1,320,320,320,320,320,320,320,320,320,320,320
"DELETE /projects/6259",1,150,150,150,150,150,150,150,150,150,150,150
"DELETE /projects/6260",1,450,450,450,450,450,450,450,450,450,450,450
"DELETE /projects/6261",1,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
"DELETE /projects/6262",1,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
"DELETE /projects/6263",1,960,960,960,960,960,960,960,960,960,960,960
"DELETE /projects/6264",1,960,960,960,960,960,960,960,960,960,960,960
"DELETE /projects/6265",1,940,940,940,940,940,940,940,940,940,940,940
"DELETE /projects/6266",1,880,880,880,880,880,880,880,880,880,880,880
"DELETE /projects/6267",1,770,770,770,770,770,770,770,770,770,770,770
"DELETE /projects/6268",1,870,870,870,870,870,870,870,870,870,870,870
"DELETE /projects/6269",1,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
"DELETE /projects/6270",1,570,570,570,570,570,570,570,570,570,570,570
"DELETE /projects/6271",1,520,520,520,520,520,520,520,520,520,520,520
"DELETE /projects/6272",1,430,430,430,430,430,430,430,430,430,430,430
"DELETE /projects/6273",1,430,430,430,430,430,430,430,430,430,430,430
"DELETE /projects/6274",1,300,300,300,300,300,300,300,300,300,300,300
"DELETE /projects/6275",1,450,450,450,450,450,450,450,450,450,450,450
"DELETE /projects/6276",1,300,300,300,300,300,300,300,300,300,300,300
"DELETE /projects/6277",1,230,230,230,230,230,230,230,230,230,230,230
"DELETE /projects/6278",1,190,190,190,190,190,190,190,190,190,190,190
"DELETE /projects/6279",1,300,300,300,300,300,300,300,300,300,300,300
"DELETE /projects/6280",1,310,310,310,310,310,310,310,310,310,310,310
"DELETE /projects/6281",1,310,310,310,310,310,310,310,310,310,310,310
"DELETE /projects/6282",1,340,340,340,340,340,340,340,340,340,340,340
"DELETE /projects/6283",1,410,410,410,410,410,410,410,410,410,410,410
"DELETE /projects/6284",1,410,410,410,410,410,410,410,410,410,410,410
"DELETE /projects/6285",1,130,130,130,130,130,130,130,130,130,130,130
"DELETE /projects/6286",1,590,590,590,590,590,590,590,590,590,590,590
"DELETE /projects/6287",1,150,150,150,150,150,150,150,150,150,150,150
"DELETE /projects/6288",1,240,240,240,240,240,240,240,240,240,240,240
"DELETE /projects/6289",1,260,260,260,260,260,260,260,260,260,260,260
"DELETE /projects/6290",1,180,180,180,180,180,180,180,180,180,180,180
"DELETE /projects/6291",1,230,230,230,230,230,230,230,230,230,230,230
"DELETE /projects/6292",1,150,150,150,150,150,150,150,150,150,150,150
"DELETE /projects/6293",1,150,150,150,150,150,150,150,150,150,150,150
"DELETE /projects/6294",1,500,500,500,500,500,500,500,500,500,500,500
"DELETE /projects/6295",1,180,180,180,180,180,180,180,180,180,180,180
"DELETE /projects/6296",1,320,320,320,320,320,320,320,320,320,320,320
"DELETE /projects/6297",1,720,720,720,720,720,720,720,720,720,720,720
"DELETE /projects/6298",1,530,530,530,530,530,530,530,530,530,530,530
"DELETE /projects/6299",1,700,700,700,700,700,700,700,700,700,700,700
"DELETE /projects/6300",1,280,280,280,280,280,280,280,280,280,280,280
"DELETE /projects/6301",1,180,180,180,180,180,180,180,180,180,180,180
"DELETE /projects/6302",1,330,330,330,330,330,330,330,330,330,330,330
"DELETE /projects/6303",1,110,110,110,110,110,110,110,110,110,110,110
"DELETE /projects/6304",1,160,160,160,160,160,160,160,160,160,160,160
"DELETE /projects/6305",1,160,160,160,160,160,160,160,160,160,160,160
"DELETE /projects/6306",1,420,420,420,420,420,420,420,420,420,420,420
"DELETE /projects/6307",1,340,340,340,340,340,340,340,340,340,340,340
"DELETE /projects/6308",1,420,420,420,420,420,420,420,420,420,420,420
"DELETE /projects/6309",1,410,410,410,410,410,410,410,410,410,410,410
"DELETE /projects/6310",1,250,250,250,250,250,250,250,250,250,250,250
"DELETE /projects/6311",1,380,380,380,380,380,380,380,380,380,380,380
"DELETE /projects/6312",1,670,670,670,670,670,670,670,670,670,670,670
"DELETE /projects/6313",1,740,740,740,740,740,740,740,740,740,740,740
"DELETE /projects/6314",1,740,740,740,740,740,740,740,740,740,740,740
"DELETE /projects/6315",1,490,490,490,490,490,490,490,490,490,490,490
"DELETE /projects/6316",1,470,470,470,470,470,470,470,470,470,470,470
"DELETE /projects/6317",1,250,250,250,250,250,250,250,250,250,250,250
"DELETE /projects/6318",1,150,150,150,150,150,150,150,150,150,150,150
"DELETE /projects/6319",1,180,180,180,180,180,180,180,180,180,180,180
"DELETE /projects/6320",1,160,160,160,160,160,160,160,160,160,160,160
"DELETE /projects/6321",1,240,240,240,240,240,240,240,240,240,240,240
"DELETE /projects/6322",1,230,230,230,230,230,230,230,230,230,230,230
"DELETE /projects/6323",1,62,62,62,62,62,62,62,62,62,62,62
"DELETE /projects/6324",1,77,77,77,77,77,77,77,77,77,77,77
"DELETE /projects/6325",1,78,78,78,78,78,78,78,78,78,78,78
"DELETE /projects/6326",1,66,66,66,66,66,66,66,66,66,66,66
"DELETE /projects/6327",1,110,110,110,110,110,110,110,110,110,110,110
